bench-10bytes-Null-x	bench-10bytes-Null-y	bench-apache-Null-x	bench-apache-Null-y	bench-bc-Null-x	bench-bc-Null-y	bench-10bytes-ReedSolomon-x	bench-10bytes-ReedSolomon-y	bench-apache-ReedSolomon-x	bench-apache-ReedSolomon-y	bench-bc-ReedSolomon-x	bench-bc-ReedSolomon-y	bench-10bytes-SimpleRegenerating-x	bench-10bytes-SimpleRegenerating-y	bench-apache-SimpleRegenerating-x	bench-apache-SimpleRegenerating-y	bench-bc-SimpleRegenerating-x	bench-bc-SimpleRegenerating-y	
0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	
0.01	0.88	0.01	0.8064387917329093	0.01	0.8085106382978723	0.01	1.0	0.01	1.0	0.01	1.0	0.01	1.0	0.01	1.0	0.01	1.0	
0.02	0.789	0.02	0.6661367249602543	0.02	0.7127659574468085	0.02	1.0	0.02	1.0	0.02	1.0	0.02	1.0	0.02	1.0	0.02	1.0	
0.03	0.705	0.03	0.5588235294117647	0.03	0.574468085106383	0.03	1.0	0.03	1.0	0.03	1.0	0.03	1.0	0.03	1.0	0.03	1.0	
0.04	0.614	0.04	0.47496025437201905	0.04	0.46808510638297873	0.04	1.0	0.04	1.0	0.04	1.0	0.04	0.991	0.04	0.9908585055643879	0.04	0.9787234042553191	
0.05	0.557	0.05	0.40421303656597773	0.05	0.40425531914893614	0.05	1.0	0.05	1.0	0.05	1.0	0.05	0.969	0.05	0.983704292527822	0.05	0.9680851063829787	
0.06	0.501	0.06	0.3537360890302067	0.06	0.3191489361702128	0.06	1.0	0.06	0.9992050874403816	0.06	1.0	0.06	0.943	0.06	0.9236883942766295	0.06	0.9680851063829787	
0.07	0.447	0.07	0.3080286168521463	0.07	0.2872340425531915	0.07	1.0	0.07	0.9976152623211447	0.07	1.0	0.07	0.938	0.07	0.8680445151033387	0.07	0.925531914893617	
0.08	0.401	0.08	0.2674880763116057	0.08	0.2553191489361702	0.08	0.999	0.08	0.9972178060413355	0.08	1.0	0.08	0.916	0.08	0.8628775834658188	0.08	0.8723404255319149	
0.09	0.357	0.09	0.22575516693163752	0.09	0.22340425531914893	0.09	0.997	0.09	0.9940381558028617	0.09	1.0	0.09	0.896	0.09	0.8628775834658188	0.09	0.8404255319148937	
0.1	0.329	0.1	0.19634340222575516	0.1	0.20212765957446807	0.1	0.996	0.1	0.9872813990461049	0.1	1.0	0.1	0.871	0.1	0.7857710651828299	0.1	0.8085106382978723	
0.11	0.291	0.11	0.1740858505564388	0.11	0.18085106382978725	0.11	0.992	0.11	0.9777424483306836	0.11	1.0	0.11	0.844	0.11	0.7651033386327504	0.11	0.7553191489361702	
0.12	0.257	0.12	0.15143084260731318	0.12	0.1595744680851064	0.12	0.986	0.12	0.9674085850556439	0.12	1.0	0.12	0.825	0.12	0.7110492845786963	0.12	0.723404255319149	
0.13	0.224	0.13	0.1327503974562798	0.13	0.14893617021276595	0.13	0.983	0.13	0.9546899841017488	0.13	0.9787234042553191	0.13	0.806	0.13	0.6232114467408585	0.13	0.6808510638297872	
