x	write-100nodes-SimpleRegenerating-1	write-100nodes-SimpleRegenerating-2	write-100nodes-SimpleRegenerating-3	write-100nodes-SimpleRegenerating-4	write-100nodes-SimpleRegenerating-5	read-degraded-100nodes-SimpleRegenerating-1	read-degraded-100nodes-SimpleRegenerating-2	read-degraded-100nodes-SimpleRegenerating-3	read-degraded-100nodes-SimpleRegenerating-4	read-degraded-100nodes-SimpleRegenerating-5	read-normal-100nodes-ReedSolomon-1	read-normal-100nodes-ReedSolomon-2	read-normal-100nodes-ReedSolomon-3	read-normal-100nodes-ReedSolomon-4	read-normal-100nodes-ReedSolomon-5	write-100nodes-ReedSolomon-1	write-100nodes-ReedSolomon-2	write-100nodes-ReedSolomon-3	write-100nodes-ReedSolomon-4	write-100nodes-ReedSolomon-5	read-degraded-100nodes-ReedSolomon-1	read-degraded-100nodes-ReedSolomon-2	read-degraded-100nodes-ReedSolomon-3	read-degraded-100nodes-ReedSolomon-4	read-degraded-100nodes-ReedSolomon-5	read-normal-100nodes-SimpleRegenerating-1	read-normal-100nodes-SimpleRegenerating-2	read-normal-100nodes-SimpleRegenerating-3	read-normal-100nodes-SimpleRegenerating-4	read-normal-100nodes-SimpleRegenerating-5
0	14999130	15171993	15252843	15380203	15394259	10880086	11171522	11246356	11483815	11836551	8829515	9006645	9100093	9208809	9310127	14468506	14517917	15379558	15414602	15703751	6620761	7419519	7556632	7598992	7794920	9894807	10102288	10247334	10304263	10459905
5	13355820	13692589	13734472	14210605	15323330	5041611	8073662	8297468	8401596	9749006	5739909	5988539	6830393	7071129	7129175	14174376	14401153	15518749	15572877	15826783	5908172	6308316	6383911	6674280	7519080	5718804	6279588	6371040	7537442	8129124
10	15881129	15974370	16485940	16563622	18161348	5086137	5209603	5810865	7332880	11842781	5094108	5176705	5210564	5319404	5474397	15822461	16314244	16609014	17478776	18457110	5456258	5586690	5804170	6113591	6469431	4622031	4994636	5181349	5498633	5657714
15	16927572	18609880	18626472	18711742	19688275	11336128	11915015	12031587	12076050	12260773	9144206	10174593	10342271	10703011	10729113	16666861	17208306	17280393	17309108	17394158	5360605	6602733	6627841	7081053	7328280	10029940	10602219	10669079	11153844	11254112
20	15438177	15585148	15723822	16253061	16539715	11458003	11758052	11918944	12923876	14316369	10469483	10681941	10846364	10855287	10986699	15921837	16227996	16384208	16765644	17729047	8475229	8794790	8820013	8820914	8939914	10679273	10920932	11193800	11267110	11569763
25	16770586	17175832	17386584	17537327	17858400	12551727	13623987	14247476	14442050	14543286	12267714	12480485	12536084	12750027	12915384	12722541	15207095	15821831	16338402	16906751	7647605	8205505	8333297	8730427	8831484	12761551	12814536	12938233	13526580	13595789
30	11942652	12046111	12081452	12323221	12326852	11522196	12136513	12153385	12281128	12578606	10840519	11698127	12095730	12206485	12666478	10894754	12753765	14199619	14201093	17632344	8782838	9497869	9766803	10558072	11358964	11642040	11859712	12076760	12205993	12330046
35	14306767	15292018	17212718	17463237	18006921	11134910	11560763	11855180	12177901	12671968	11138746	11247005	11559836	11814932	11865969	19090212	19317651	19915372	20336509	20735347	8541408	9161762	9198379	9307453	9889777	11152388	11306069	11337841	11579046	11636712
40	19849623	20035881	20042718	20406706	21900391	11630567	11857115	12624197	13032900	13185402	11767602	11824632	11916095	12089744	12757007	20294912	20349895	20424660	20555411	20907822	8339370	8386803	9109915	9997947	10504927	11802965	12072357	12262635	12416339	12887490
45	19559301	19999762	21032750	21094836	21156720	10997229	11382720	11624968	13679693	13890140	10896016	11442165	11489806	11605770	11855689	17073091	18146182	18840854	18847758	19470282	8033747	8184895	8494602	8510818	9027920	10850122	10872663	11071103	11179826	11212338
50	19019850	19038924	19252610	19279691	19639330	10131149	10943662	13610784	13708028	14316702	12347286	12512334	13090294	13118572	13530863	21020584	21276077	21388229	22304114	24778865	7321991	8389472	8952984	9300246	9929224	12260780	12661419	12762233	13377507	13390429
55	17987281	19249386	22028956	22256114	23180343	10976426	11086911	11454369	11724625	12285312	10564899	11296716	11463378	12270722	12516462	20980451	21018749	21354657	21407759	21424361	8010247	8467869	9127966	9420297	9767577	10930012	11175400	11392336	11855400	12114090
60	21574461	21775454	22235264	22366475	24711254	10544281	11561562	11673120	12017841	12063275	10688922	10935756	10981175	11258568	11285652	18665009	18768027	19018102	19289611	19376913	8611768	8668670	8771994	8773760	9852739	10684104	10876271	10899489	11379711	11806725
65	19237162	19486381	19731812	19916138	20728689	7083350	8070903	10937729	11103922	11624859	10813112	11186805	11312146	11343480	11663070	20255150	20278148	21668695	21782587	21918169	9604302	9639441	9843611	10424403	10937462	10944473	11091527	11263706	11453242	11507674
70	18673473	18734130	20144087	20947436	22860246	7322668	8531689	9026537	10481822	10879012	8153544	8305571	8416483	8842036	9117097	18303253	18546317	18727297	19556953	20361377	7731867	8702229	8787888	8967706	9166150	6891556	7427430	8258811	8963025	10037558
75	18777275	20165579	20894633	20954848	20956534	9541195	9942450	10523195	10553912	10631531	8945237	9836831	10075777	10175359	10406919	22530986	23748373	23957873	23990674	24186606	7556660	7909193	8109365	8636236	8687597	7691515	9332806	10225624	11175055	11221144
80	17440144	18665029	21179347	22355848	24106293	9593209	10280167	10406893	10803975	11546075	10239775	10276200	10332069	10407235	10409470	15082329	15959525	17824971	19554677	19729264	7745686	7766856	8874215	8888298	8977545	9765399	9985670	9991785	10176182	10223990
85	20140971	22464485	23665364	23980804	24147141	9881391	10766603	10897081	10918151	12089056	10012208	10270456	10332508	10509453	10695321	8398554	8560240	8842690	10397850	10572157	7793902	8172554	8184167	8412465	8885894	8923201	9798498	10598031	10643749	10729177
90	9118907	13908562	14929230	18054803	19058940	4922794	9631301	11255003	11458958	11935188	10682676	11000716	11102783	11337352	11406470	nan	nan	nan	nan	nan	5530066	6115223	6371057	6577357	8097379	10345704	10524561	10938363	10939270	11008562
95	7984024	8733869	10882822	11309977	11338446	nan	nan	nan	nan	nan	9960425	10390014	10641713	10871318	10994288	nan	nan	nan	nan	nan	6133681	7518779	7938201	8435398	8559721	10089715	10330253	11719010	11772877	12031721
100	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6972660	8152662	8236648	8343904	8837257	nan	nan	nan	nan	nan
105	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7181387	7639688	8096605	8185931	8322583	nan	nan	nan	nan	nan
110	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6438902	7672990	7839438	8197535	8263688	nan	nan	nan	nan	nan
115	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7193891	7619636	8432815	8477390	8990262	nan	nan	nan	nan	nan
120	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8715007	8720163	8743089	9153914	9442682	nan	nan	nan	nan	nan
125	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	652234	2178336	4840197	5708035	6850800	nan	nan	nan	nan	nan
