sec	minute	hour	general	write	read	redis	cluster	exists
0	0.0	0.0	2493868	0	0	1916176	242038	0
20	0.3333333333333333	0.005555555555555556	5413609	39015923	2273071	873258	0	0
40	0.6666666666666666	0.011111111111111112	7901623	48190514	3327381	1249058	0	0
60	1.0	0.016666666666666666	7579639	52425415	4850572	1269202	0	0
80	1.3333333333333333	0.022222222222222223	8919887	58215524	6964853	1179140	0	0
100	1.6666666666666667	0.027777777777777776	8875994	59674716	6573573	1207495	0	0
120	2.0	0.03333333333333333	6884848	39504032	2919773	1317285	0	0
140	2.3333333333333335	0.03888888888888889	0	0	0	0	0	0
160	2.6666666666666665	0.044444444444444446	0	0	0	0	0	0
180	3.0	0.05	0	0	0	0	0	0
200	3.3333333333333335	0.05555555555555555	0	0	0	0	0	0
220	3.6666666666666665	0.06111111111111111	0	0	0	0	0	0
240	4.0	0.06666666666666667	0	0	0	0	0	0
260	4.333333333333333	0.07222222222222222	0	0	0	0	0	0
280	4.666666666666667	0.07777777777777778	0	0	0	0	0	0
300	5.0	0.08333333333333333	901010	1800897	0	1028432	0	0
320	5.333333333333333	0.08888888888888889	212972	0	0	156465	15015	0
340	5.666666666666667	0.09444444444444444	4236352	0	0	3209349	124598	0
360	6.0	0.1	0	0	0	0	0	0
380	6.333333333333333	0.10555555555555556	0	0	0	0	0	0
400	6.666666666666667	0.1111111111111111	0	0	0	0	0	0
420	7.0	0.11666666666666667	0	0	0	0	0	0
440	7.333333333333333	0.12222222222222222	0	0	0	0	0	0
460	7.666666666666667	0.12777777777777777	0	0	0	0	0	0
480	8.0	0.13333333333333333	0	0	0	0	0	0
500	8.333333333333334	0.1388888888888889	0	0	0	0	0	0
520	8.666666666666666	0.14444444444444443	0	0	0	0	0	0
540	9.0	0.15	0	0	0	0	0	0
560	9.333333333333334	0.15555555555555556	0	0	0	0	0	0
580	9.666666666666666	0.16111111111111112	0	0	0	0	0	0
600	10.0	0.16666666666666666	0	0	0	0	0	0
620	10.333333333333334	0.17222222222222222	0	0	0	0	0	0
