sec	minute	hour	general	write	read	redis	cluster	exists
0	0.0	0.0	2476358	0	0	1927687	237495	0
20	0.3333333333333333	0.005555555555555556	6261980	40236297	2821977	899755	0	0
40	0.6666666666666666	0.011111111111111112	7663825	44962059	3615201	1271015	0	0
60	1.0	0.016666666666666666	9081091	57513879	6860879	1256483	0	0
80	1.3333333333333333	0.022222222222222223	10197780	58326003	7999922	1176446	0	0
100	1.6666666666666667	0.027777777777777776	7882708	48737375	5303763	1232864	0	0
120	2.0	0.03333333333333333	0	0	0	0	0	0
140	2.3333333333333335	0.03888888888888889	0	0	0	0	0	0
160	2.6666666666666665	0.044444444444444446	0	0	0	0	0	0
180	3.0	0.05	0	0	0	0	0	0
200	3.3333333333333335	0.05555555555555555	0	0	0	0	0	0
220	3.6666666666666665	0.06111111111111111	0	0	0	0	0	0
240	4.0	0.06666666666666667	0	0	0	0	0	0
260	4.333333333333333	0.07222222222222222	0	0	0	0	0	0
280	4.666666666666667	0.07777777777777778	0	0	0	0	0	0
300	5.0	0.08333333333333333	3336060	11372030	477623	1275099	0	0
320	5.333333333333333	0.08888888888888889	4196963	0	0	3212367	139164	0
340	5.666666666666667	0.09444444444444444	0	0	0	0	0	0
360	6.0	0.1	0	0	0	0	0	0
380	6.333333333333333	0.10555555555555556	0	0	0	0	0	0
400	6.666666666666667	0.1111111111111111	0	0	0	0	0	0
420	7.0	0.11666666666666667	0	0	0	0	0	0
440	7.333333333333333	0.12222222222222222	0	0	0	0	0	0
460	7.666666666666667	0.12777777777777777	0	0	0	0	0	0
480	8.0	0.13333333333333333	0	0	0	0	0	0
500	8.333333333333334	0.1388888888888889	0	0	0	0	0	0
520	8.666666666666666	0.14444444444444443	0	0	0	0	0	0
540	9.0	0.15	0	0	0	0	0	0
560	9.333333333333334	0.15555555555555556	0	0	0	0	0	0
580	9.666666666666666	0.16111111111111112	0	0	0	0	0	0
600	10.0	0.16666666666666666	0	0	0	0	0	0
620	10.333333333333334	0.17222222222222222	0	0	0	0	0	0
640	10.666666666666666	0.17777777777777778	0	0	0	0	0	0
660	11.0	0.18333333333333332	0	0	0	0	0	0
680	11.333333333333334	0.18888888888888888	0	0	0	0	0	0
700	11.666666666666666	0.19444444444444445	0	0	0	0	0	0
720	12.0	0.2	0	0	0	0	0	0
740	12.333333333333334	0.20555555555555555	0	0	0	0	0	0
760	12.666666666666666	0.2111111111111111	33668	0	0	0	0	0
780	13.0	0.21666666666666667	2891867	0	0	3083995	2030810	0
800	13.333333333333334	0.2222222222222222	0	0	0	0	0	0
820	13.666666666666666	0.22777777777777777	0	0	0	0	0	0
840	14.0	0.23333333333333334	0	0	0	0	0	0
860	14.333333333333334	0.2388888888888889	0	0	0	0	0	0
880	14.666666666666666	0.24444444444444444	1723066	0	0	2909895	64790	0
900	15.0	0.25	921622	0	0	4341353	991727	0
920	15.333333333333334	0.25555555555555554	2880132	0	0	609114	3000063	0
940	15.666666666666666	0.2611111111111111	2446739	850216	1299032	1257122	8611	1167105
960	16.0	0.26666666666666666	4718828	1656905	2371070	2314789	0	2239835
980	16.333333333333332	0.2722222222222222	5355544	1666639	2576939	2410968	0	2343146
1000	16.666666666666668	0.2777777777777778	4309976	1775854	2659422	2312081	0	2185376
1020	17.0	0.2833333333333333	4761214	1736856	2826337	2441725	0	2427335
1040	17.333333333333332	0.28888888888888886	0	0	0	0	0	0
1060	17.666666666666668	0.29444444444444445	0	0	0	0	0	0
1080	18.0	0.3	0	0	0	0	0	0
1100	18.333333333333332	0.3055555555555556	0	0	0	0	0	0
1120	18.666666666666668	0.3111111111111111	0	0	0	0	0	0
1140	19.0	0.31666666666666665	0	0	0	0	0	0
1160	19.333333333333332	0.32222222222222224	0	0	0	0	0	0
1180	19.666666666666668	0.3277777777777778	0	0	0	0	0	0
1200	20.0	0.3333333333333333	0	0	0	0	0	0
