hour,size
0.023611,118
0.078611,117
0.223333,118
0.276667,117
0.374444,118
0.389722,117
0.437778,118
0.464444,117
0.541944,116
0.551389,117
0.554444,118
0.556667,117
0.563333,116
0.626944,117
0.721111,116
0.730000,117
0.740833,116
0.756667,115
0.889722,114
0.905278,115
1.027500,114
1.054444,115
1.054722,116
1.189722,117
1.221111,116
1.223056,115
1.242222,114
1.387222,115
1.405556,116
1.556389,115
1.720278,116
1.745556,117
1.807778,116
1.912222,115
1.962222,114
2.054444,115
2.125000,116
2.135556,117
2.221111,116
2.387778,117
2.554444,116
2.574444,115
2.575556,114
2.735833,115
2.737222,116
2.797778,115
2.964722,116
3.246944,117
3.374444,118
3.413611,117
3.541111,116
3.573333,115
3.603333,114
3.734444,115
3.770278,116
4.041111,117
4.078889,118
4.207778,117
4.245556,116
4.554444,117
4.721111,116
4.808056,115
4.912222,116
4.984722,115
5.074444,114
5.079722,113
5.103333,112
5.135833,113
5.146667,114
5.221111,115
5.236944,116
5.270278,117
5.374444,118
5.388056,117
5.407778,116
5.541111,115
5.569444,116
5.575556,115
5.580556,116
5.738056,117
5.747222,116
6.074444,115
6.075556,114
6.236944,115
6.241667,116
6.437778,115
6.556667,116
6.598889,117
6.721389,118
6.723333,117
6.888056,116
6.921111,115
